ships,dates
Bakugou Katsuki & Shinsou Hitoshi,09 Aug 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,09 Aug 2022
Dabi | Todoroki Touya/Todoroki Shouto,07 Aug 2022
Aizawa Shouta | Eraserhead & Original Male Character(s),07 Aug 2022
Nedzu (My Hero Academia) & Original Male Character(s),07 Aug 2022
Takami Keigo | Hawks & Original Male Character(s),07 Aug 2022
Bakugou Katsuki & Midoriya Izuku,07 Aug 2022
Bakugou Katsuki & Midoriya Izuku,07 Aug 2022
Class 1-A & Midoriya Izuku,07 Aug 2022
Bakugou Katsuki & Kirishima Eijirou,07 Aug 2022
Bakugou Katsuki & Class 1-A,07 Aug 2022
Todoroki Shouto/Yaoyorozu Momo,07 Aug 2022
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko,07 Aug 2022
Bubaigawara Jin | Twice & Toga Himiko,07 Aug 2022
Shigaraki Tomura | Shimura Tenko & Toga Himiko,07 Aug 2022
Dabi | Todoroki Touya & Toga Himiko,07 Aug 2022
Bakugou Katsuki/Midoriya Izuku,07 Aug 2022
Bakugou Katsuki & Midoriya Izuku,07 Aug 2022
Midoriya Izuku/Todoroki Shouto,07 Aug 2022
Bakugou Katsuki & Midoriya Izuku,07 Aug 2022
Midoriya Izuku & Shinsou Hitoshi,07 Aug 2022
Midoriya Izuku & Todoroki Shouto,07 Aug 2022
Midoriya Izuku & Shirakumo Oboro,07 Aug 2022
Midoriya Izuku & Everyone,07 Aug 2022
Midoriya Izuku & Yagi Toshinori | All Might,07 Aug 2022
Midoriya Izuku & Toogata Mirio,07 Aug 2022
Class 1-A & Midoriya Izuku,07 Aug 2022
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,07 Aug 2022
Shinsou Hitoshi & Yamada Hizashi | Present Mic,07 Aug 2022
Kaminari Denki & Shinsou Hitoshi,07 Aug 2022
Bakugou Katsuki & Shinsou Hitoshi,07 Aug 2022
Asui Tsuyu & Shinsou Hitoshi,07 Aug 2022
Takami Keigo | Hawks/Todoroki Enji | Endeavor,07 Aug 2022
Bakugou Katsuki & Midoriya Izuku,07 Aug 2022
Midoriya Inko & Midoriya Izuku,07 Aug 2022
Bakugou Katsuki/Midoriya Izuku,07 Aug 2022
Kirishima Eijirou/Midoriya Izuku,07 Aug 2022
Bakugou Katsuki & Kirishima Eijirou,07 Aug 2022
Aizawa Shouta | Eraserhead & Shirakumo Oboro,07 Aug 2022
Aizawa Shouta | Eraserhead & Kurosaki Ichigo,07 Aug 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,07 Aug 2022
Fukukado Emi | Ms. Joke/Kayama Nemuri | Midnight,07 Aug 2022
Kaminari Denki/Sero Hanta,07 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,07 Aug 2022
Ashido Mina/Asui Tsuyu,07 Aug 2022
Monoma Neito & Shinsou Hitoshi,07 Aug 2022
Monoma Neito/Shinsou Hitoshi,07 Aug 2022
Midoriya Izuku & Tsukauchi Naomasa,07 Aug 2022
Midoriya Izuku/Toga Himiko,07 Aug 2022
Bakugou Katsuki/Midoriya Izuku,07 Aug 2022
League of Villains & Midoriya Izuku,07 Aug 2022
Ashido Mina & Yaoyorozu Momo,04 Aug 2022
Sero Hanta/Todoroki Shouto,04 Aug 2022
Bakugou Katsuki/Midoriya Izuku,04 Aug 2022
Bakugou Katsuki/Midoriya Izuku,04 Aug 2022
Bakugou Katsuki/Kaminari Denki,04 Aug 2022
Midoriya Izuku/Uraraka Ochako,04 Aug 2022
Kaminari Denki/Shinsou Hitoshi,04 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,04 Aug 2022
Bakugou Katsuki/Midoriya Izuku,04 Aug 2022
Midoriya Izuku/Todoroki Shouto,04 Aug 2022
Bakugou Katsuki/Midoriya Izuku/Todoroki Shouto,04 Aug 2022
Bakugou Katsuki/Todoroki Shouto,04 Aug 2022
Bakugou Katsuki/Midoriya Izuku,04 Aug 2022
Bakugou Katsuki & Bakugou Mitsuki,04 Aug 2022
Bakugou Katsuki & Bakugou Masaru,04 Aug 2022
Bakugou Katsuki/Midoriya Izuku,04 Aug 2022
Midoriya Izuku/A Nap,04 Aug 2022
Jirou Kyouka/Midoriya Izuku,04 Aug 2022
Jirou Kyouka & Midoriya Izuku,04 Aug 2022
Eri & Midoriya Izuku,04 Aug 2022
Eri & Jirou Kyouka,04 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,04 Aug 2022
Jirou Kyouka/Kaminari Denki,04 Aug 2022
Dabi | Todoroki Touya/Reader,04 Aug 2022
Dabi/Y/N,04 Aug 2022
Bakugou Katsuki/Reader,04 Aug 2022
Kirishima Eijirou/Reader,04 Aug 2022
Bakugou Katsuki/Reader,04 Aug 2022
mentions of Bakugou Katsuki/Kirishima Eijirou,04 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,04 Aug 2022
Dabi | Todoroki Touya/Takami Keigo | Hawks,04 Aug 2022
Bakugou Katsuki & Kirishima Eijirou,04 Aug 2022
Bakugou Katsuki & Shinsou Hitoshi,04 Aug 2022
Bakugou Katsuki & Midoriya Izuku,04 Aug 2022
Bakugou Katsuki & Class 1-A,04 Aug 2022
Ashido Mina & Bakugou Katsuki & Kaminari Denki & Kirishima Eijirou & Sero Hanta,04 Aug 2022
Bakugou Katsuki & all of 1A,04 Aug 2022
Bakugou Katsuki & Midoriya Izuku,04 Aug 2022
Bakugou Katsuki/Midoriya Izuku,04 Aug 2022
That'd be spoilers.,02 Aug 2022
Iida Tenya/Reader,02 Aug 2022
Bakugou Katsuki/Reader,02 Aug 2022
Kirishima Eijirou/Reader,02 Aug 2022
Midoriya Izuku/Reader,02 Aug 2022
Shinsou Hitoshi/Reader,02 Aug 2022
Ashido Mina/Reader,02 Aug 2022
Midoriya Izuku/Shinsou Hitoshi/Todoroki Shouto,02 Aug 2022
Dabi/Takami Keigo | Hawks,02 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,02 Aug 2022
Bakugou Katsuki/Midoriya Izuku,02 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,02 Aug 2022
Sasaki Mirai | Sir Nighteye/Yagi Toshinori | All Might,02 Aug 2022
Ashido Mina/Bakugou Katsuki/Kaminari Denki/Kirishima Eijirou/Sero Hanta/Todoroki Shouto,02 Aug 2022
Bakugou Katsuki/Todoroki Shouto,02 Aug 2022
Sero Hanta/Todoroki Shouto,02 Aug 2022
Kirishima Eijirou/Todoroki Shouto,02 Aug 2022
Kaminari Denki/Todoroki Shouto,02 Aug 2022
Ashido Mina/Todoroki Shouto,02 Aug 2022
Midoriya Izuku & Original Character(s),02 Aug 2022
Original Character(s) & Original Character(s),02 Aug 2022
Tsukauchi Naomasa & Original Character(s),02 Aug 2022
Tamakawa Sansa & Tsukauchi Naomasa,02 Aug 2022
Tamakawa Sansa & Original Character(s),02 Aug 2022
Other Relationship Tags to Be Added,02 Aug 2022
ill add as i go to avoid spoiling,02 Aug 2022
Bakugou Katsuki/Midoriya Izuku,02 Aug 2022
Ashido Mina/Jirou Kyouka/Yaoyorozu Momo,02 Aug 2022
Kaminari Denki/Shinsou Hitoshi,02 Aug 2022
Iida Tenya/Sero Hanta,02 Aug 2022
Bakugou Katsuki/Midoriya Izuku,02 Aug 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,02 Aug 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Aug 2022
Other Relationship Tags to Be Added,02 Aug 2022
Bakugou Katsuki & Midoriya Izuku,02 Aug 2022
Kaminari Denki/Shinsou Hitoshi,02 Aug 2022
Midoriya Izuku & Shinsou Hitoshi,02 Aug 2022
Bakugou Katsuki/Reader,02 Aug 2022
Bakugou Katsuki/Original Character(s),02 Aug 2022
Bakugou Katsuki/Original Female Character(s),02 Aug 2022
Midoriya Izuku/Uraraka Ochako,02 Aug 2022
Bakugou x OC - Relationship,02 Aug 2022
bakugou x reader - Relationship,02 Aug 2022
Bakugou Katsuki/ Fem!Reader,02 Aug 2022
Bakugou Katsuki/FemReader,02 Aug 2022
Aizawa Shouta | Eraserhead/Shinsou Hitoshi,02 Aug 2022
Midoriya Izuku & Shinsou Hitoshi,02 Aug 2022
Midoriya Izuku/Shinsou Hitoshi,02 Aug 2022
Kaminari Denki/Midoriya Izuku,02 Aug 2022
Kinda - Relationship,02 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,02 Aug 2022
Hinted,02 Aug 2022
Bakugou Katsuki/Midoriya Izuku,02 Aug 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Aug 2022
Bakugou Katsuki & Midoriya Izuku,02 Aug 2022
Midoriya Inko & Midoriya Izuku,02 Aug 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,02 Aug 2022
Midoriya Izuku/Shinsou Hitoshi,02 Aug 2022
Minor or Background Relationship(s),02 Aug 2022
Bakugou Katsuki/Midoriya Izuku,02 Aug 2022
Bakugou Katsuki/Original Female Character(s),02 Aug 2022
Midoriya Izuku/Todoroki Shouto,02 Aug 2022
Bakugou Katsuki/Kirishima Eijirou,02 Aug 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,02 Aug 2022
Bakugou Katsuki & Midoriya Izuku,02 Aug 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,02 Aug 2022
Midoriya Izuku & Yagi Toshinori | All Might,02 Aug 2022
Midoriya Izuku & Shinsou Hitoshi,02 Aug 2022
Class 1-A & Midoriya Izuku,02 Aug 2022
Bakugo Katsuki & Consequences,02 Aug 2022
Toga Himiko/Uraraka Ochako,30 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,30 Jul 2022
Sero Hanta/Todoroki Shouto,30 Jul 2022
Kaminari Denki/Shinsou Hitoshi,30 Jul 2022
Bakugou Katsuki & Midoriya Izuku,30 Jul 2022
Most of Class 1-A & Midoriya Izuku,30 Jul 2022
sorta Class 1-B & Midoriya Izuku,30 Jul 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,30 Jul 2022
finally its actually relavent,30 Jul 2022
Aizawa Shouta | Eraserhead/Midoriya Izuku,30 Jul 2022
Aizawa Shouta | Eraserhead & Shigaraki Tomura | Shimura Tenko,30 Jul 2022
Dabi | Todoroki Touya & Shigaraki Tomura | Shimura Tenko & Toga Himiko,30 Jul 2022
,30 Jul 2022
Midoriya Izuku/A Shoe,30 Jul 2022
Midoriya Izuku/Todoroki Shouto,30 Jul 2022
Second One For All User/Yoichi | First One For All User (My Hero Academia),30 Jul 2022
,30 Jul 2022
Midoriya Izuku & Shirakumo Oboro,30 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,30 Jul 2022
"Akatani ""Yamikumo"" Mikumo & Midoriya Izuku",30 Jul 2022
Midoriya Izuku/Todoroki Shouto,30 Jul 2022
Sero Hanta/Todoroki Shouto,30 Jul 2022
Toga Himiko/Uraraka Ochako,30 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,30 Jul 2022
Bakugou Katsuki/Uraraka Ochako,30 Jul 2022
Todoroki Shouto/Reader,30 Jul 2022
Shinsou Hitoshi/Reader,30 Jul 2022
Midoriya Izuku/ Todoroki Shouto,30 Jul 2022
Eri (My Hero Academia)/Yagi Toshinori | All Might,30 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Jul 2022
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,30 Jul 2022
Aizawa Shouta | Eraserhead & Todoroki Shouto,30 Jul 2022
Aizawa Shouta | Eraserhead & Bakugou Katsuki,30 Jul 2022
Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic,30 Jul 2022
Bakugou Katsuki & Midoriya Izuku,30 Jul 2022
Bakugou Katsuki/Midoriya Izuku,30 Jul 2022
Kaminari Denki/Kirishima Eijirou,30 Jul 2022
Kaminari Denki/Todoroki Shouto,30 Jul 2022
Kirishima Eijirou/Todoroki Shouto,30 Jul 2022
Kaminari Denki/Kirishima Eijirou/Todoroki Shouto,30 Jul 2022
Shigaraki Tomura | Shimura Tenko/Uraraka Ochako,27 Jul 2022
Midoriya Inko & Midoriya Izuku,27 Jul 2022
Bakugou Katsuki & Midoriya Izuku,27 Jul 2022
Midoriya Izuku & Original Male Character(s),27 Jul 2022
Midoriya Izuku & Shinsou Hitoshi,27 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,27 Jul 2022
Midoriya Izuku & Yamada Hizashi | Present Mic,27 Jul 2022
Bakugou Katsuki/Reader,27 Jul 2022
Kirishima Eijirou/Reader,27 Jul 2022
Bakugou Katsuki/Midoriya Izuku,27 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,27 Jul 2022
Midoriya Inko & Midoriya Izuku,27 Jul 2022
Bakugou Katsuki & Midoriya Izuku,27 Jul 2022
Bakugou Katsuki/Dabi | Todoroki Touya,27 Jul 2022
Bakugou Katsuki/Midoriya Izuku,27 Jul 2022
To Be Decided,27 Jul 2022
Asui Tsuyu & Iida Tenya & Midoriya Izuku & Todoroki Shouto & Uraraka Ochako,27 Jul 2022
Iida Tenya & Midoriya Izuku,27 Jul 2022
Iida Tenya & Todoroki Shouto,27 Jul 2022
Oswald Cobblepot/Edward Nygma,27 Jul 2022
Ivy Pepper (Gotham)/Harleen Quinzel,27 Jul 2022
Selina Kyle/Bruce Wayne,27 Jul 2022
Oswald Cobblepot & Midoriya Izuku,27 Jul 2022
Edward Nygma & Midoriya Izuku,27 Jul 2022
Midoriya Izuku & Harleen Quinzel,27 Jul 2022
Selina Kyle & Midoriya Izuku,27 Jul 2022
Midoriya Izuku & The Gotham Rogues,27 Jul 2022
Midoriya Izuku & Todoroki Shouto,27 Jul 2022
Midoriya Izuku & Shinsou Hitoshi,27 Jul 2022
Bakugou Katsuki & Midoriya Izuku,27 Jul 2022
Bakugou Katsuki/Todoroki Shouto,27 Jul 2022
Dick Grayson/Midoriya Izuku,27 Jul 2022
Midoriya Izuku/Todoroki Shouto,27 Jul 2022
Hatsume Mei/Midoriya Izuku,27 Jul 2022
Midoriya Izuku & Shinsou Hitoshi,27 Jul 2022
Midoriya Izuku & Nedzu,27 Jul 2022
Midoriya Izuku & Original Character(s),27 Jul 2022
Jirou Kyouka/Yaoyorozu Momo,27 Jul 2022
Iida Tenya/Uraraka Ochako,27 Jul 2022
Bakugou Katsuki & Midoriya Izuku,27 Jul 2022
Aizawa Shouta | Eraserhead/Kayama Nemuri | Midnight,27 Jul 2022
Yamada Hizashi | Present Mic & Original Character(s),27 Jul 2022
Midoriya Izuku & Tsukauchi Naomasa,27 Jul 2022
Eri & Midoriya Izuku,27 Jul 2022
Aizawa Shouta | Eraserhead/Shinsou Hitoshi,27 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,27 Jul 2022
Midoriya Inko/Yagi Toshinori | All Might,27 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,27 Jul 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,27 Jul 2022
Fukukado Emi | Ms. Joke/Kayama Nemuri | Midnight,27 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,27 Jul 2022
Midoriya Izuku/Todoroki Shouto,27 Jul 2022
Jirou Kyouka/Yaoyorozu Momo,27 Jul 2022
Todoroki Shouto/Yaoyorozu Momo,27 Jul 2022
Bakugou Katsuki/Midoriya Izuku,27 Jul 2022
Bakugou Katsuki & Midoriya Izuku,27 Jul 2022
Kodai Yui/Midoriya Izuku,27 Jul 2022
Midoriya Inko/Yagi Toshinori | All Might,27 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,27 Jul 2022
Bakugou Katsuki/Midoriya Izuku,27 Jul 2022
Bakugou Katsuki & Therapy,25 Jul 2022
Bakugou Katsuki & Bakugou Katsuki,25 Jul 2022
Bakugou Katsuki & His Own Mind,25 Jul 2022
,25 Jul 2022
Takami Keigo | Hawks/Reader,25 Jul 2022
Midoriya Izuku/Yagi Toshinori | All Might,25 Jul 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,25 Jul 2022
Bakugou Katsuki & Midoriya Izuku,25 Jul 2022
Bakugou Katsuki/Midoriya Izuku,25 Jul 2022
Izuku - Relationship,25 Jul 2022
Monoma Neito/Uraraka Ochako,25 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Inko,25 Jul 2022
Bakugou Katsuki/Midoriya Izuku,25 Jul 2022
Bakugou Katsuki & Midoriya Izuku,25 Jul 2022
Bakugou Katsuki/Midoriya Izuku,25 Jul 2022
Ashido Mina & Bakugou Katsuki & Kaminari Denki & Kirishima Eijirou & Sero Hanta,25 Jul 2022
Bakugou Katsuki/Kirishima Eijirou/Midoriya Izuku,25 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,25 Jul 2022
Bakugou Katsuki/Midoriya Izuku,25 Jul 2022
Kirishima Eijirou/Midoriya Izuku,25 Jul 2022
Midoriya Izuku/Shigaraki Tomura | Shimura Tenko,25 Jul 2022
Midoriya Inko & Midoriya Izuku,25 Jul 2022
Midoriya Izuku & Tsukauchi Naomasa,25 Jul 2022
Asui Tsuyu & Tokoyami Fumikage,25 Jul 2022
Asui Tsuyu & Midoriya Izuku,25 Jul 2022
Bakugou Katsuki/Midoriya Izuku,25 Jul 2022
Bakugou Katsuki/Kirishima Eijirou/Uzumaki Naruto,25 Jul 2022
Kirishima Eijirou/Uzumaki Naruto,25 Jul 2022
Bakugou Katsuki/Uzumaki Naruto,25 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,25 Jul 2022
Sasaki Mirai | Sir Nighteye/Yagi Toshinori | All Might,25 Jul 2022
Moashi Juuzou | Centipeder/Sasaki Mirai | Sir Nighteye,25 Jul 2022
Sasaki Mirai | Sir Nighteye/Yagi Toshinori | All Might/Moashi Juuzou | Centipeder,25 Jul 2022
Crimson Riot/Kirishima Eijirou,25 Jul 2022
Kirishima Eijirou/Shinsou Hitoshi,25 Jul 2022
,25 Jul 2022
Bakugou Katsuki/Uraraka Ochako,25 Jul 2022
Todoroki Shouto/Uraraka Ochako,25 Jul 2022
Shinsou Hitoshi/Uraraka Ochako,25 Jul 2022
Awase Yousetsu/Yaoyorozu Momo,25 Jul 2022
Uraraka Ochako & Yaoyorozu Momo,25 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,24 Jul 2022
Bakugou Katsuki & Kirishima Eijirou,24 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,25 Jul 2022
Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might,25 Jul 2022
Bakugou Katsuki & Midoriya Izuku,22 Jul 2022
Midoriya Izuku & Killua Zoldyck,22 Jul 2022
Midoriya Izuku & Everyone,22 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,22 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku & Yagi Toshinori | All Might,22 Jul 2022
Midoriya Izuku & Nedzu,22 Jul 2022
Hurt/Comfort - Relationship,22 Jul 2022
Dabi | Todoroki Touya/Takami Keigo | Hawks,22 Jul 2022
Bakugou Katsuki/Midoriya Izuku,22 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,22 Jul 2022
Bakugou Katsuki & Midoriya Izuku,22 Jul 2022
Bakugou Katsuki & Kirishima Eijirou,22 Jul 2022
No Romantic Relationship(s),22 Jul 2022
Bakugou Katsuki/Midoriya Izuku,22 Jul 2022
Midoriya Izuku/Todoroki Shouto,22 Jul 2022
Bakugou Katsuki/Midoriya Izuku,22 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,22 Jul 2022
Kaminari Denki/Shinsou Hitoshi,22 Jul 2022
Midoriya Izuku/Toogata Mirio,22 Jul 2022
Midoriya Izuku/Uraraka Ochako,22 Jul 2022
Bakugou Katsuki/Toga Himiko,22 Jul 2022
Eri & Midoriya Izuku & Uraraka Ochako,22 Jul 2022
Bakugou Katsuki & Midoriya Izuku & Toga Himiko & Uraraka Ochako,22 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,22 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,22 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,22 Jul 2022
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,22 Jul 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,22 Jul 2022
Midoriya Izuku & Shinsou Hitoshi,22 Jul 2022
Eri & Midoriya Izuku,22 Jul 2022
Class 1-A & Midoriya Izuku,22 Jul 2022
Aizawa Shouta | Eraserhead & Class 1-A,22 Jul 2022
Class 1-A & Class 1-B (My Hero Academia),22 Jul 2022
Midoriya Izuku & Everyone,22 Jul 2022
when i say everyone i mean EVERYONE,22 Jul 2022
No Romantic Relationship(s),22 Jul 2022
Eri & Midoriya Izuku,22 Jul 2022
Class 1-A & Eri (My Hero Academia),22 Jul 2022
Midoriya Izuku & Tsukauchi Naomasa,22 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,22 Jul 2022
Bakugou Katsuki/Midoriya Izuku,22 Jul 2022
Hadou Nejire & Midoriya Izuku,22 Jul 2022
Aoyama Yuuga/Kirishima Eijirou,22 Jul 2022
Shinsou Hitoshi/Original Character(s),22 Jul 2022
Todoroki Shouto/Original Character(s),22 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,22 Jul 2022
Midoriya Izuku/Todoroki Shouto,22 Jul 2022
Class 1-A (My Hero Academia) & Original Character(s),22 Jul 2022
Minor or Background Relationship(s),22 Jul 2022
Kaminari Denki/Shinsou Hitoshi,21 Jul 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,21 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,21 Jul 2022
Midoriya Izuku & Yamada Hizashi | Present Mic,21 Jul 2022
Bakugou Katsuki/Todoroki Natsuo,22 Jul 2022
Dabi | Todoroki Touya & Todoroki Natsuo,22 Jul 2022
Bakugou Katsuki & Midoriya Izuku,22 Jul 2022
Midoriya Izuku & Prison,22 Jul 2022
Dabi | Todoroki Touya/Todoroki Shouto,22 Jul 2022
Kirishima Eijirou/Todoroki Shouto,19 Jul 2022
Kaminari Denki & Class 1-A,19 Jul 2022
Ashido Mina & Bakugou Katsuki & Kaminari Denki & Kirishima Eijirou & Sero Hanta,19 Jul 2022
Bakugou Katsuki & Midoriya Izuku,19 Jul 2022
Bakugou Katsuki & Kaminari Denki,19 Jul 2022
Kaminari Denki & Kirishima Eijirou,19 Jul 2022
Hagakure Tooru & Kaminari Denki,19 Jul 2022
Bakugou Katsuki/Uraraka Ochako,19 Jul 2022
Hakamata Tsunagu | Best Jeanist/Kamihara Shinya | Edgeshot,19 Jul 2022
Hakamata Tsunagu | Best Jeanist & Uwabami (My Hero Academia),19 Jul 2022
Tatsuma Ryuuko | Ryuukyuu/Usagiyama Rumi | Miruko,19 Jul 2022
Tatsuma Ryuuko | Ryuukyuu/Uwabami,19 Jul 2022
Usagiyama Rumi | Miruko/Uwabami,19 Jul 2022
Uwabami/Tatsuma Ryuuko | Ryuukyuu/Usagiyama Rumi | Miruko,19 Jul 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,19 Jul 2022
Ectoplasm/Maijima Higari | Power Loader,19 Jul 2022
Dabi | Todoroki Touya/Takami Keigo | Hawks,19 Jul 2022
Jirou Kyouka/Yaoyorozu Momo,19 Jul 2022
it's mentioned a bit but all the others are just background,19 Jul 2022
,19 Jul 2022
Bakugou Katsuki/Todoroki Shouto,19 Jul 2022
Todoroki Shouto & Yaoyorozu Momo,19 Jul 2022
Jirou Kyouka/Yaoyorozu Momo (background),19 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,19 Jul 2022
,19 Jul 2022
Eri & Midoriya Izuku,19 Jul 2022
Bakugou Katsuki/Midoriya Izuku,19 Jul 2022
Sero Hanta/Todoroki Shouto,19 Jul 2022
Midoriya Izuku & Sensei | All For One,19 Jul 2022
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,19 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,19 Jul 2022
Bakugou Katsuki & Midoriya Izuku,19 Jul 2022
Bakugou Katsuki & Midoriya Izuku,19 Jul 2022
Midoriya Izuku & Yagi Toshinori | All Might,19 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,19 Jul 2022
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,19 Jul 2022
Midoriya Izuku & Shinsou Hitoshi,19 Jul 2022
Kayama Nemuri | Midnight & Tatsuma Ryuuko | Ryuukyuu,19 Jul 2022
Aizawa Shouta | Eraserhead & Midoriya Izuku,19 Jul 2022
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,19 Jul 2022
Bakugou Katsuki/Original Female Character(s),19 Jul 2022
Kirishima Eijirou/Original Female Character(s),19 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,19 Jul 2022
Bakugou Katsuki/Kirishima Eijirou/Reader,19 Jul 2022
Bakugou Katsuki/Kirishima Eijirou/Original Female Character(s),19 Jul 2022
Dabi | Todoroki Touya/Reader,19 Jul 2022
Dabi | Todoroki Touya/Original Female Character(s),19 Jul 2022
Shigaraki Tomura | Shimura Tenko/Reader,19 Jul 2022
Shigaraki Tomura | Shimura Tenko/Original Female Character(s),19 Jul 2022
Bakugou Katsuki/Reader,19 Jul 2022
Kirishima Eijirou/Reader,19 Jul 2022
Bakugou Katsuki/Midoriya Izuku,19 Jul 2022
,19 Jul 2022
Midoriya Izuku/Reader,19 Jul 2022
Kaminari Denki/Midoriya Izuku,19 Jul 2022
Midoriya Izuku/Todoroki Shouto,17 Jul 2022
Midoriya Izuku/Todoroki Shouto,17 Jul 2022
Bakugou Katsuki/Iida Tenya,17 Jul 2022
Toogata Mirio/Mabel Pines,16 Jul 2022
Midoriya Izuku/Shinsou Hitoshi,17 Jul 2022
Bakugou Katsuki/Uraraka Ochako,17 Jul 2022
Todoroki Shouto/Utsushimi Camie,17 Jul 2022
Jirou Kyouka/Yaoyorozu Momo,17 Jul 2022
,17 Jul 2022
Bakugou Katsuki/Midoriya Izuku,17 Jul 2022
Kirishima Eijirou/Midoriya Izuku,17 Jul 2022
Kaminari Denki/Midoriya Izuku,17 Jul 2022
Midoriya Izuku/Shinsou Hitoshi,17 Jul 2022
Bakugou Katsuki & Midoriya Izuku,17 Jul 2022
Dabi | Todoroki Touya & Takami Keigo | Hawks,17 Jul 2022
Dabi | Todoroki Touya/Takami Keigo | Hawks,17 Jul 2022
Bakugou Katsuki/Uraraka Ochako,17 Jul 2022
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,17 Jul 2022
Aizawa Shouta | Eraserhead & Nedzu,17 Jul 2022
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight,17 Jul 2022
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Yamada Hizashi | Present Mic,17 Jul 2022
Bakugou Katsuki/Reader,17 Jul 2022
Kirishima Eijirou/Reader,17 Jul 2022
Midoriya Izuku/Reader,17 Jul 2022
Aizawa Shouta | Eraserhead/Reader,17 Jul 2022
Tokoyami Fumikage/Reader,17 Jul 2022
Todoroki Shouto/Reader,17 Jul 2022
Amajiki Tamaki/Reader,17 Jul 2022
Iida Tenya/Reader,17 Jul 2022
Shinsou Hitoshi/Reader,17 Jul 2022
Kaminari Denki/Reader,17 Jul 2022
Kayama Nemuri | Midnight/Reader,17 Jul 2022
Shigaraki Tomura | Shimura Tenko/Reader,17 Jul 2022
Bakugou Katsuki/Kirishima Eijirou,17 Jul 2022
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko,16 Jul 2022
